method,crop,region,year,driver_group,dominant_feature,observed_yield_t_ha,trend_yield_t_ha,yield_gap_t_ha,recovered_gap_t_ha,recoverable_fraction,claim_sentence
00_baseline_v1_raw_yield_scaa,Canola,Montana,2001,heat,heat_days_30,1.02,1.3948650183150235,0.3748650183150235,0.27524323809523693,0.7342462610473087,"In Montana Canola 2001, heat exposure was the dominant modelled driver; moving heat_days_30 toward feasible normal levels recovered 0.275 t/ha (73.4%) of the 0.375 t/ha detrended yield shortfall."
00_baseline_v1_raw_yield_scaa,Oats,Washington,2001,excess_rain,max_1day_rain,1.9727,2.4758611330049263,0.5031611330049264,0.06803176190476186,0.1352086984510701,"In Washington Oats 2001, excess rainfall or wetness was the dominant modelled driver; moving max_1day_rain toward feasible normal levels recovered 0.068 t/ha (13.5%) of the 0.503 t/ha detrended yield shortfall."
00_baseline_v1_raw_yield_scaa,Wheat,Montana,2001,drought,rain_sum,1.54,2.152728283998286,0.6127282839982859,0.1494388095238095,0.24389082963277658,"In Montana Wheat 2001, drought/dry-spell stress was the dominant modelled driver; moving rain_sum toward feasible normal levels recovered 0.149 t/ha (24.4%) of the 0.613 t/ha detrended yield shortfall."
00_baseline_v1_raw_yield_scaa,Barley,Minnesota,2002,heat,max_consecutive_heat_days_30,2.2058,3.161413401973398,0.9556134019733982,0.2632325238095241,0.27545922154914676,"In Minnesota Barley 2002, heat exposure was the dominant modelled driver; moving max_consecutive_heat_days_30 toward feasible normal levels recovered 0.263 t/ha (27.5%) of the 0.956 t/ha detrended yield shortfall."
00_baseline_v1_raw_yield_scaa,Barley,Montana,2002,heat,heat_days_30,2.2596,2.647041788931787,0.3874417889317874,0.2308298571428584,0.5957794531645064,"In Montana Barley 2002, heat exposure was the dominant modelled driver; moving heat_days_30 toward feasible normal levels recovered 0.231 t/ha (59.6%) of the 0.387 t/ha detrended yield shortfall."
00_baseline_v1_raw_yield_scaa,Barley,Nebraska,2002,heat,heat_days_30,1.7216,2.425227142857139,0.703627142857139,0.2351311904761897,0.3341701537001815,"In Nebraska Barley 2002, heat exposure was the dominant modelled driver; moving heat_days_30 toward feasible normal levels recovered 0.235 t/ha (33.4%) of the 0.704 t/ha detrended yield shortfall."
00_baseline_v1_raw_yield_scaa,Barley,North Dakota,2002,heat,heatwave_events_3d_30,2.421,3.003649652509651,0.5826496525096512,0.11799157142857017,0.20250861031212186,"In North Dakota Barley 2002, heat exposure was the dominant modelled driver; moving heatwave_events_3d_30 toward feasible normal levels recovered 0.118 t/ha (20.3%) of the 0.583 t/ha detrended yield shortfall."
00_baseline_v1_raw_yield_scaa,Barley,South Dakota,2002,excess_rain,heavy_rain_days_20,1.883,2.4424528505002376,0.5594528505002376,0.12076895238095209,0.21586975966422534,"In South Dakota Barley 2002, excess rainfall or wetness was the dominant modelled driver; moving heavy_rain_days_20 toward feasible normal levels recovered 0.121 t/ha (21.6%) of the 0.559 t/ha detrended yield shortfall."
00_baseline_v1_raw_yield_scaa,Canola,Minnesota,2002,heat,max_consecutive_heat_days_30,0.9976,1.486950837438414,0.4893508374384139,0.16370152380952335,0.33452793228360544,"In Minnesota Canola 2002, heat exposure was the dominant modelled driver; moving max_consecutive_heat_days_30 toward feasible normal levels recovered 0.164 t/ha (33.5%) of the 0.489 t/ha detrended yield shortfall."
00_baseline_v1_raw_yield_scaa,Canola,Montana,2002,heat,heat_degree_days_30,1.0088,1.3980328449328503,0.3892328449328504,0.17259785714285722,0.44343086507160884,"In Montana Canola 2002, heat exposure was the dominant modelled driver; moving heat_degree_days_30 toward feasible normal levels recovered 0.173 t/ha (44.3%) of the 0.389 t/ha detrended yield shortfall."
