method,crop,region,year,driver_group,dominant_feature,observed_yield_t_ha,trend_yield_t_ha,yield_gap_t_ha,recovered_gap_t_ha,recoverable_fraction,claim_sentence
01_residual_target_scaa,Wheat,Kansas,2007,heat,max_consecutive_heat_days_35,2.2193,2.6848428185328217,0.46554281853282165,0.10558934624740923,0.22680909691653847,"In Kansas Wheat 2007, heat exposure was the dominant modelled driver; moving max_consecutive_heat_days_35 toward feasible normal levels recovered 0.106 t/ha (22.7%) of the 0.466 t/ha detrended yield shortfall."
01_residual_target_scaa,Oats,North Dakota,2008,excess_rain,max_3day_rain,1.8292,2.250635165165157,0.4214351651651571,0.09517636382681266,0.22583868574306987,"In North Dakota Oats 2008, excess rainfall or wetness was the dominant modelled driver; moving max_3day_rain toward feasible normal levels recovered 0.095 t/ha (22.6%) of the 0.421 t/ha detrended yield shortfall."
01_residual_target_scaa,Oats,Illinois,2009,excess_rain,heavy_rain_days_50,2.3314,2.642631252681241,0.3112312526812411,0.18905502292525073,0.6074422838212793,"In Illinois Oats 2009, excess rainfall or wetness was the dominant modelled driver; moving heavy_rain_days_50 toward feasible normal levels recovered 0.189 t/ha (60.7%) of the 0.311 t/ha detrended yield shortfall."
01_residual_target_scaa,Wheat,Illinois,2009,excess_rain,heavy_rain_days_10,3.7661,4.281818348348338,0.5157183483483383,0.3187359762907673,0.6180427307105997,"In Illinois Wheat 2009, excess rainfall or wetness was the dominant modelled driver; moving heavy_rain_days_10 toward feasible normal levels recovered 0.319 t/ha (61.8%) of the 0.516 t/ha detrended yield shortfall."
01_residual_target_scaa,Wheat,Oklahoma,2009,drought,rain_mean,1.4795,2.1043432217932185,0.6248432217932185,0.32822587966627226,0.5252931747011783,"In Oklahoma Wheat 2009, drought/dry-spell stress was the dominant modelled driver; moving rain_mean toward feasible normal levels recovered 0.328 t/ha (52.5%) of the 0.625 t/ha detrended yield shortfall."
01_residual_target_scaa,Wheat,Texas,2009,drought,dry_days_1mm,1.6813,2.091565555555553,0.4102655555555528,0.23628227343577776,0.5759252031670583,"In Texas Wheat 2009, drought/dry-spell stress was the dominant modelled driver; moving dry_days_1mm toward feasible normal levels recovered 0.236 t/ha (57.6%) of the 0.410 t/ha detrended yield shortfall."
01_residual_target_scaa,Oats,Illinois,2010,heat,heatwave_events_3d_30,2.3314,2.6661502359502194,0.33475023595021947,0.15317439409719852,0.45757815125177986,"In Illinois Oats 2010, heat exposure was the dominant modelled driver; moving heatwave_events_3d_30 toward feasible normal levels recovered 0.153 t/ha (45.8%) of the 0.335 t/ha detrended yield shortfall."
01_residual_target_scaa,Oats,Iowa,2010,drought,rain_mean,2.2238,2.5357452166452106,0.31194521664521035,0.1386267953775921,0.44439468208053573,"In Iowa Oats 2010, drought/dry-spell stress was the dominant modelled driver; moving rain_mean toward feasible normal levels recovered 0.139 t/ha (44.4%) of the 0.312 t/ha detrended yield shortfall."
01_residual_target_scaa,Oats,Oklahoma,2010,excess_rain,heavy_rain_days_10,1.1836,1.4399857754010696,0.25638577540106966,0.04862094876634568,0.18963980622671794,"In Oklahoma Oats 2010, excess rainfall or wetness was the dominant modelled driver; moving heavy_rain_days_10 toward feasible normal levels recovered 0.049 t/ha (19.0%) of the 0.256 t/ha detrended yield shortfall."
01_residual_target_scaa,Wheat,Illinois,2010,excess_rain,heavy_rain_days_10,3.8333,4.352921321321304,0.5196213213213041,0.31804995168580374,0.6120802565935123,"In Illinois Wheat 2010, excess rainfall or wetness was the dominant modelled driver; moving heavy_rain_days_10 toward feasible normal levels recovered 0.318 t/ha (61.2%) of the 0.520 t/ha detrended yield shortfall."
01_residual_target_scaa,Barley,Kansas,2011,heat,heatwave_events_3d_30,1.5602,2.3180527902979335,0.7578527902979335,0.3339600824600044,0.44066616463695435,"In Kansas Barley 2011, heat exposure was the dominant modelled driver; moving heatwave_events_3d_30 toward feasible normal levels recovered 0.334 t/ha (44.1%) of the 0.758 t/ha detrended yield shortfall."
01_residual_target_scaa,Barley,Minnesota,2011,excess_rain,wet_days_1mm,2.7438,3.356041471471464,0.6122414714714641,0.31008617547027434,0.5064769211484673,"In Minnesota Barley 2011, excess rainfall or wetness was the dominant modelled driver; moving wet_days_1mm toward feasible normal levels recovered 0.310 t/ha (50.6%) of the 0.612 t/ha detrended yield shortfall."
01_residual_target_scaa,Barley,North Dakota,2011,excess_rain,wet_days_1mm,2.5286,3.31214567567568,0.78354567567568,0.286254072015241,0.36533169782143676,"In North Dakota Barley 2011, excess rainfall or wetness was the dominant modelled driver; moving wet_days_1mm toward feasible normal levels recovered 0.286 t/ha (36.5%) of the 0.784 t/ha detrended yield shortfall."
01_residual_target_scaa,Barley,South Dakota,2011,frost_cold,min_tmin,1.7754,2.4609163282927105,0.6855163282927104,0.10055060950090966,0.14667864987451518,"In South Dakota Barley 2011, frost/cold stress was the dominant modelled driver; moving min_tmin toward feasible normal levels recovered 0.101 t/ha (14.7%) of the 0.686 t/ha detrended yield shortfall."
