crop,region,year,step,feature,from_value,to_value,standardized_delta,prediction_before_t_ha,prediction_after_t_ha,prediction_gain_t_ha
Barley,Texas,1999,2,wet_days_1mm,51.0,45.0,0.4493721723186635,-0.144793513716505,-0.10171033751166683,0.043083176204838175
Barley,Texas,1999,3,heavy_rain_days_20,1.0,3.0,0.8642657838077897,-0.10171033751166683,-0.027976340601950523,0.07373399690971631
Barley,Texas,1999,4,rain_mean,1.637,1.7025000000000001,0.10598697565159669,-0.027976340601950523,-0.01623524261734583,0.011741097984604692
Barley,Montana,2000,1,max_7day_rain,38.48,38.5,0.000874561510321567,-0.3977040122613673,-0.3969832567873689,0.0007207554739984134
Barley,Montana,2000,2,rain_sum,281.42,324.09,0.6167588998828102,-0.3969832567873689,-0.2852154545455757,0.11176780224179322
Barley,Montana,2000,3,rain_mean,1.538,1.916,0.9997321412337512,-0.2852154545455757,-0.1819086506552824,0.10330680389029329
Barley,Montana,2000,4,max_3day_rain,29.44,33.62,0.23281323638940307,-0.1819086506552824,-0.16824001364857644,0.013668637006705953
Barley,Nebraska,2000,1,rain_mean,1.798,2.1334999999999997,0.5855341663244629,-0.8858898787248436,-0.6857753884619695,0.2001144902628741
Barley,Nebraska,2000,2,rain_sum,329.01,390.46000000000004,0.5861008337176379,-0.6857753884619695,-0.5085563981657147,0.17721899029625476
Barley,Nebraska,2000,3,heatwave_events_3d_30,10.0,9.0,0.41689379487468553,-0.5085563981657147,-0.41583438882602847,0.09272200933968627
Barley,Nebraska,2000,4,max_3day_rain,28.04,33.7,0.2834387664151844,-0.41583438882602847,-0.3469262897468516,0.06890809907917689
Oats,Nebraska,2000,1,rain_mean,1.798,2.1334999999999997,0.5855341663244629,-0.6024495699822233,-0.4678782728884312,0.13457129709379212
Oats,Nebraska,2000,2,rain_sum,329.01,390.46000000000004,0.5861008337176379,-0.4678782728884312,-0.34414692143519016,0.12373135145324105
Oats,Nebraska,2000,3,wet_days_1mm,59.0,61.5,0.22497599501861135,-0.34414692143519016,-0.3153930745735896,0.02875384686160054
Oats,Nebraska,2000,4,heatwave_events_3d_35,4.0,2.0,1.1433971698085372,-0.3153930745735896,-0.2025386205002086,0.11285445407338102
